reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
reward : 0.00  ; episode length:100
