reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 1.00  ; episode length:161
reward : 0.00  ; episode length:1
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:20
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:3
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 1.00  ; episode length:152
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:165
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 1.00  ; episode length:89
reward : 0.00  ; episode length:35
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:143
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 1.00  ; episode length:106
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
